stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00003054,-17.1,123.7,-999.9,NA,POINT TORMENT,NA,NA,NA
ASN00003055,-18.7,121.75,-999.9,NA,ROLLAH,NA,NA,NA
ASN00003056,-18.1792,122.3583,5,NA,THANGOO,NA,NA,NA
ASN00003057,-16.4514,123.0086,7,NA,CYGNET BAY,NA,NA,9420
ASN00003058,-18.8333,124.95,60,NA,MILLAJIDDIE,NA,NA,NA
ASN00003059,-19.0861,121.6764,31,NA,NITA DOWNS,NA,NA,NA
ASN00003060,-18.7667,123.6833,152,NA,ARDJORIE,NA,NA,NA
ASN00003061,-16.695,123.8625,250,NA,KIMBOLTON RANGE STATION 1,NA,NA,NA
ASN00003062,-16.5833,125.4833,-999.9,NA,BEVERLEY SP,NA,NA,NA
ASN00003063,-16.715,125.4586,400,NA,BEVERLEY SPRINGS,NA,NA,NA
ASN00003064,-18.1667,125.5833,-999.9,NA,FITZROY A.I.M,NA,NA,NA
ASN00003065,-18.55,124.7167,-999.9,NA,KALYEEDA,NA,NA,NA
ASN00003066,-18.5175,121.8072,10,NA,PORT SMITH,NA,NA,NA
ASN00003068,-18.5075,123.4561,120,NA,DAMPIER DOWNS,NA,NA,NA
ASN00003069,-16.1306,123.7764,152,NA,KOOLAN ISLAND,NA,NA,NA
ASN00003072,-16.4508,123.0653,2,NA,ONE ARM POINT,NA,NA,NA
ASN00003073,-16.6872,123.8375,25,NA,KIMBOLTON,NA,NA,NA
ASN00003074,-17.9347,123.4731,50,NA,YAKKAMUNGA,NA,NA,NA
ASN00003075,-17.3117,123.6356,-999.9,NA,DERBY RFDS,NA,NA,NA
ASN00003076,-19.3283,125.3886,240,NA,WESTERN FIELD,NA,NA,NA
ASN00003077,-18.5914,123.6133,120,NA,MOWLA BLUFF,NA,NA,NA
ASN00003078,-18.7267,125.9875,200,NA,CADJEBUT,NA,NA,NA
ASN00003079,-18.9897,121.7208,20,NA,SHELAMAR,NA,NA,NA
ASN00003080,-17.5736,123.8217,77.5,NA,CURTIN AERO,NA,NA,9420
ASN00003081,-17.5778,123.8222,91,NA,CURTIN,NA,NA,NA
ASN00003082,-17.8672,122.3631,40,NA,KIRBY GARDENS,NA,NA,NA
ASN00003083,-17.9769,122.3431,15,NA,BROOME BIRD OBSERVATORY,NA,NA,NA
