Program.ID,Broad.Field,Field,Institution.Name,Program.Name,Program.Website,Control,Regional.Code.1.NE.2.MW.3.SA.4.SC.5.W,Program.Size.Quartile,R.Rankings.5th.Percentile,R.Rankings.95th.Percentile,S.Rankings.5th.Percentile,S.Rankings.95th.Percentile,Research.Activity.5th.Percentile,Research.Activity.95th.Percentile,Student.Support.Outcomes.5th.Percentile,Student.Support.Outcomes.95th.Percentile,Diversity.5th.Percentile,Diversity.95th.Percentile,Average.Publications,Average.Citations,Faculty.with.Grants.Pct,Awards.per.Faculty,FirstYrs.Full.Supp.Pct,Avg.Completion.Pct.6Yrs,Median.Time.to.Degree,Academic.Plans.Pct,Collects.Data.,Non.Asian.Min.Fac.Pct,Female.Faculty.Pct,Non.Asian.Min.Stud.Pct,Female.Stud.Pct,Int.Stud.Pct,Ave.Num.Ph.Ds,Pct.Interdisc.Fac,Ave.GRE.Scores,Pct.FirstYrs.Ext.Fellows,Student.Work.Space,Health.Insurance,Num.Student.Activities,Total.Faculty,Num.Allocated.Faculty,Asst.Prof.Pct,Tenured.Faculty.Pct,Num.Core.and.New.Fac,Num.Students,Ave.First.Yr.Enrol,Pct.Stud.RAs,Pct.Stud.TAs,Orientation,Internat.Orientation,Language.Screening,Instruction.in.Writing,Instruction.in.Statistics,Prizes.Awards,Training.Proposal,Graduate.Research.Conf,Training.Academic.Integrity,Active.GSA,Staff.Assigned.GSA,Financial.Support.GSA,Acad.Grievance.Proc,Dispute.Resolution.Proc,Grad.Directors.Coord.Meet,Annual.Review.Doctoral.Students,Training.Teaching,Travel.Support,Student.Activities
20029375,Physical and Mathematical Sciences,Statistics and Probability,OHIO STATE UNIVERSITY MAIN CAMPUS,Statistics,http://www.stat.ohio-state.edu/,Public,2,4,10,37,23,42,14,36,41,57,15,41,0.94,1.07,83.1,0.12,73.3,22.3,5.50,42.3,1,0,23.3,4.0,50.0,62.2,4.6,6.3,778,0,1,1,18,32,26.3,13.0,63.0,30,74,13.00,31.9,47.2,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,18
20042132,Physical and Mathematical Sciences,Statistics and Probability,OKLAHOMA STATE UNIVERSITY MAIN CAMPUS,Statistics,http://statistics.okstate.edu,Public,4,1,56,61,36,56,17,49,8,51,13,41,1.68,0.78,15.2,0,81.8,55.6,6.00,,1,0,42.9,0,63.6,45.5,1,0,722,0,-1,-1,12,7,6.59,0,86.0,7,11,2.20,0,77.8,3,1,1,4,4,1,2,1,4,3,4,1,1,1,4,4,1,3,12
20018894,Physical and Mathematical Sciences,Statistics and Probability,OREGON STATE UNIVERSITY,Statistics,http://www.stat.oregonstate.edu,Public,5,1,41,58,49,58,44,55,39,58,46,58,0.5,0.85,43.6,0.37,100.0,25.0,4.50,0,1,0,37.5,11.1,38.5,30.8,1.4,20.0,779,0,1,1,14,20,13.64,10.0,55.0,16,13,3.60,40.0,10.0,3,3,3,1,3,3,4,1,2,3,4,4,3,1,4,2,2,3,14
20031790,Physical and Mathematical Sciences,Statistics and Probability,PENN STATE UNIVERSITY,Statistics,http://www.stat.psu.edu/,Public,1,4,8,30,5,14,7,18,14,41,4,21,1.25,2.06,69.3,0.47,93.3,50.5,4.90,34.6,1,4.2,26.9,8.3,50.9,76.4,5.4,39.5,788,5.6,1,1,18,43,21.76,14.0,81.0,26,55,13.00,19.4,47.8,2,1,1,1,1,3,1,1,1,3,3,3,1,1,1,3,1,3,18
20056047,Physical and Mathematical Sciences,Statistics and Probability,PURDUE UNIVERSITY MAIN CAMPUS,Statistics,http://www.stat.purdue.edu,Public,2,4,8,28,10,24,13,32,23,49,11,37,1.21,2.05,52.4,0,75.0,57.6,5.67,41.4,1,7.1,22.7,5.3,46.7,65.0,7.6,15.4,792,37.5,1,1,18,26,19.39,23.0,62.0,22,60,23.60,34.5,52.7,3,1,1,1,3,3,1,3,1,3,1,3,3,3,3,3,3,3,18
20041243,Physical and Mathematical Sciences,Statistics and Probability,RICE UNIVERSITY,Statistics,http://statistics.rice.edu/,Private,4,4,13,47,26,45,28,49,10,36,20,43,0.51,1.33,73.1,0.09,100.0,58.3,5.00,31.3,1,12.5,16.7,29.6,48.9,33.3,4.6,7.7,775,0,1,1,18,26,21.15,4.0,85.0,24,45,9.60,25.0,6.8,3,3,3,3,3,3,2,3,1,3,1,3,1,1,3,2,3,3,18
20012816,Physical and Mathematical Sciences,Statistics and Probability,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY NEW BRUNSWICK CAMPUS,Statistics,http://stat.rutgers.edu,Public,1,3,27,48,23,42,11,28,32,54,11,38,0.81,0.95,86.3,1,100.0,45.6,5.08,,1,5.6,10.5,10.0,42.9,71.4,3.6,0,786,0,-1,1,17,19,17.57,5.0,84.0,19,35,6.25,16.7,40.0,3,1,1,2,3,1,3,4,1,3,2,3,3,3,1,2,3,3,17
20043335,Physical and Mathematical Sciences,Statistics and Probability,SOUTHERN METHODIST UNIVERSITY,Statistical Science,http://www.smu.edu/statistics,Private,4,2,24,53,43,54,38,55,12,39,14,39,0.37,0.50,73.2,0.17,100.0,31.9,4.00,35.7,1,0,40.0,16.7,40.7,55.6,3.8,0,751,0,1,-1,18,10,9.33,40.0,60.0,10,27,7.60,42.3,57.7,3,1,1,2,2,3,2,1,1,1,1,1,1,1,2,2,1,3,18
20052902,Physical and Mathematical Sciences,Statistics and Probability,STANFORD UNIVERSITY,Statistics,http://www-stat.stanford.edu,Private,5,4,1,1,1,1,1,1,3,17,48,59,2.25,6.54,95.5,4.26,90.9,85.2,4.70,48.7,1,0,5.3,5.9,30.4,54.3,9.6,27.6,800,27.3,1,1,18,29,18.9,3.0,79.0,21,46,10.60,21.7,0,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,18
20042420,Physical and Mathematical Sciences,Statistics and Probability,TEMPLE UNIVERSITY,Statistics,http://www.sbm.temple.edu/dept/statistics/graduate.html,Public,1,4,37,57,59,60,57,59,42,58,27,50,0.4,0.42,20.6,0,100.0,14.7,6.50,,1,0,0,0,52.0,61.2,3.8,18.8,767,0,-1,1,10,16,14.08,6.0,94.0,13,50,10.60,3.7,33.3,1,1,1,4,4,4,4,4,1,4,4,1,1,1,1,4,1,1,10
20022084,Physical and Mathematical Sciences,Statistics and Probability,TEXAS A & M UNIVERSITY,Statistics,http://www.stat.tamu.edu,Public,4,3,5,27,31,47,34,51,11,36,22,46,0.74,0.73,53.8,0.19,100.0,65.7,5.00,26.5,1,0,18.8,0,38.1,71.4,10.4,0,770,0,1,1,16,32,23.08,22.0,75.0,32,42,10.00,43.2,32.4,3,1,1,4,4,1,1,1,3,3,3,3,3,3,3,2,3,3,16
20061252,Physical and Mathematical Sciences,Statistics and Probability,UNIVERSITY OF CALIFORNIA-BERKELEY,Statistics,http://www.stat.berkeley.edu/,Public,5,4,2,7,4,9,3,7,21,50,52,60,1.61,2.01,93.9,0.68,100.0,38.2,5.30,25.0,1,0,14.3,0,23.4,55.3,6.8,27.6,800,22.2,1,1,18,29,16.96,24.0,76.0,21,47,8.00,0,0,3,1,3,1,1,3,1,1,1,3,1,3,1,3,1,3,3,3,18
20067463,Physical and Mathematical Sciences,Statistics and Probability,UNIVERSITY OF CALIFORNIA-DAVIS,Statistics,http://www.stat.ucdavis.edu/,Public,5,2,15,43,12,24,25,44,6,28,2,11,0.83,1.52,52.2,0.19,100.0,49.2,4.48,42.9,1,8.7,29.2,12.5,64.5,67.7,5.4,33.3,799,0,1,1,18,36,20.94,14.0,67.0,24,31,8.80,10.3,20.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
20053626,Physical and Mathematical Sciences,Statistics and Probability,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Statistics,http://www.stat.ucla.edu/,Public,5,3,11,30,9,22,9,22,16,44,44,58,1.07,2.29,74.2,0.35,100.0,30.7,4.33,33.3,1,0,14.3,0,40.5,50.0,2.4,36.4,788,15.4,1,1,16,22,15.15,9.0,91.0,14,42,5.80,6.4,0,1,1,1,3,3,1,2,4,1,1,4,1,1,1,2,2,2,1,16
20048712,Physical and Mathematical Sciences,Statistics and Probability,UNIVERSITY OF CALIFORNIA-RIVERSIDE,Applied Statistics,http://statistics.ucr.edu,Public,5,2,45,58,51,59,49,57,36,53,9,31,0.7,0.44,28.6,0,75.0,56.7,5.00,,1,0,40.0,30.0,35.5,58.1,2.6,0,777,0,1,1,15,10,10,40.0,60.0,10,31,7.60,0,40.0,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,15
20070434,Physical and Mathematical Sciences,Statistics and Probability,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,Statistics & Applied Probability,http://www.pstat.ucsb.edu,Public,5,3,31,57,48,58,46,55,46,58,46,58,0.76,0.66,38.1,0,62.5,39.0,5.20,,1,0,18.2,18.8,28.6,42.9,3.2,14.3,776,0,-1,1,18,14,11.06,14.0,79.0,12,35,7.40,2.9,37.1,3,3,3,1,1,3,1,1,3,3,1,3,1,1,3,2,3,3,18
