Sensor,Date_Time,Date,Time,Count
Melbourne Central,2019-07-07T00:00:00Z,2019-07-07,10,651
Flinders Street Station Underpass,2019-07-07T00:00:00Z,2019-07-07,10,977
Melbourne Central,2019-07-07T01:00:00Z,2019-07-07,11,1216
Flinders Street Station Underpass,2019-07-07T01:00:00Z,2019-07-07,11,1329
Melbourne Central,2019-07-07T02:00:00Z,2019-07-07,12,1780
Flinders Street Station Underpass,2019-07-07T02:00:00Z,2019-07-07,12,1673
Melbourne Central,2019-07-07T03:00:00Z,2019-07-07,13,2131
Flinders Street Station Underpass,2019-07-07T03:00:00Z,2019-07-07,13,1618
Melbourne Central,2019-07-07T04:00:00Z,2019-07-07,14,2564
Flinders Street Station Underpass,2019-07-07T04:00:00Z,2019-07-07,14,1685
Melbourne Central,2019-07-07T05:00:00Z,2019-07-07,15,2095
Flinders Street Station Underpass,2019-07-07T05:00:00Z,2019-07-07,15,1664
Melbourne Central,2019-07-07T06:00:00Z,2019-07-07,16,1823
Flinders Street Station Underpass,2019-07-07T06:00:00Z,2019-07-07,16,1624
Melbourne Central,2019-07-07T07:00:00Z,2019-07-07,17,1575
Flinders Street Station Underpass,2019-07-07T07:00:00Z,2019-07-07,17,1182
Melbourne Central,2019-07-07T08:00:00Z,2019-07-07,18,1725
Flinders Street Station Underpass,2019-07-07T08:00:00Z,2019-07-07,18,1042
Melbourne Central,2019-07-07T09:00:00Z,2019-07-07,19,1819
Flinders Street Station Underpass,2019-07-07T09:00:00Z,2019-07-07,19,852
Melbourne Central,2019-07-07T10:00:00Z,2019-07-07,20,1672
Flinders Street Station Underpass,2019-07-07T10:00:00Z,2019-07-07,20,757
Melbourne Central,2019-07-07T11:00:00Z,2019-07-07,21,1167
Flinders Street Station Underpass,2019-07-07T11:00:00Z,2019-07-07,21,641
Melbourne Central,2019-07-07T12:00:00Z,2019-07-07,22,776
Flinders Street Station Underpass,2019-07-07T12:00:00Z,2019-07-07,22,520
Melbourne Central,2019-07-07T13:00:00Z,2019-07-07,23,375
