Sensor,Date_Time,Date,Time,Count
Southern Cross Station,2019-06-30T17:00:00Z,2019-07-01,3,4
Victoria Point,2019-06-30T17:00:00Z,2019-07-01,3,NA
Waterfront City,2019-06-30T17:00:00Z,2019-07-01,3,5
New Quay,2019-06-30T17:00:00Z,2019-07-01,3,8
Flagstaff Station,2019-06-30T17:00:00Z,2019-07-01,3,NA
Sandridge Bridge,2019-06-30T17:00:00Z,2019-07-01,3,8
State Library,2019-06-30T17:00:00Z,2019-07-01,3,23
Collins St (North),2019-06-30T17:00:00Z,2019-07-01,3,13
Collins Place (South),2019-06-30T17:00:00Z,2019-07-01,3,4
Collins Place (North),2019-06-30T17:00:00Z,2019-07-01,3,5
Chinatown-Swanston St (North),2019-06-30T17:00:00Z,2019-07-01,3,13
Chinatown-Lt Bourke St (South),2019-06-30T17:00:00Z,2019-07-01,3,25
Bourke St-Russell St (West),2019-06-30T17:00:00Z,2019-07-01,3,67
Flinders St-Elizabeth St (East),2019-06-30T17:00:00Z,2019-07-01,3,70
Spencer St-Collins St (South),2019-06-30T17:00:00Z,2019-07-01,3,21
Spencer St-Collins St (North),2019-06-30T17:00:00Z,2019-07-01,3,12
Melbourne Convention Exhibition Centre,2019-06-30T17:00:00Z,2019-07-01,3,NA
QV Market-Elizabeth St (West),2019-06-30T17:00:00Z,2019-07-01,3,22
QV Market-Peel St,2019-06-30T17:00:00Z,2019-07-01,3,NA
The Arts Centre,2019-06-30T17:00:00Z,2019-07-01,3,34
St Kilda Rd-Alexandra Gardens,2019-06-30T17:00:00Z,2019-07-01,3,3
Lonsdale St (South),2019-06-30T17:00:00Z,2019-07-01,3,44
Lygon St (West),2019-06-30T17:00:00Z,2019-07-01,3,6
City Square,2019-06-30T17:00:00Z,2019-07-01,3,NA
Flinders St-Spring St (West),2019-06-30T17:00:00Z,2019-07-01,3,1
Flinders St-Spark La,2019-06-30T17:00:00Z,2019-07-01,3,2
Southbank,2019-06-30T17:00:00Z,2019-07-01,3,31
Queen St (West),2019-06-30T17:00:00Z,2019-07-01,3,8
Lygon St (East),2019-06-30T17:00:00Z,2019-07-01,3,1
Flinders St-Swanston St (West),2019-06-30T17:00:00Z,2019-07-01,3,25
Alfred Place,2019-06-30T17:00:00Z,2019-07-01,3,NA
Lonsdale St-Spring St (West),2019-06-30T17:00:00Z,2019-07-01,3,6
Grattan St-Swanston St (West),2019-06-30T17:00:00Z,2019-07-01,3,4
Monash Rd-Swanston St (West),2019-06-30T17:00:00Z,2019-07-01,3,1
Tin Alley-Swanston St (West),2019-06-30T17:00:00Z,2019-07-01,3,2
Bourke Street Mall (North),2019-06-30T18:00:00Z,2019-07-01,4,15
Bourke Street Mall (South),2019-06-30T18:00:00Z,2019-07-01,4,23
Melbourne Central,2019-06-30T18:00:00Z,2019-07-01,4,36
Town Hall (West),2019-06-30T18:00:00Z,2019-07-01,4,36
Princes Bridge,2019-06-30T18:00:00Z,2019-07-01,4,47
Flinders Street Station Underpass,2019-06-30T18:00:00Z,2019-07-01,4,52
Birrarung Marr,2019-06-30T18:00:00Z,2019-07-01,4,3
Webb Bridge,2019-06-30T18:00:00Z,2019-07-01,4,5
Southern Cross Station,2019-06-30T18:00:00Z,2019-07-01,4,8
Victoria Point,2019-06-30T18:00:00Z,2019-07-01,4,3
Waterfront City,2019-06-30T18:00:00Z,2019-07-01,4,5
New Quay,2019-06-30T18:00:00Z,2019-07-01,4,5
Flagstaff Station,2019-06-30T18:00:00Z,2019-07-01,4,NA
Sandridge Bridge,2019-06-30T18:00:00Z,2019-07-01,4,36
State Library,2019-06-30T18:00:00Z,2019-07-01,4,11
Collins St (North),2019-06-30T18:00:00Z,2019-07-01,4,14
Collins Place (South),2019-06-30T18:00:00Z,2019-07-01,4,11
Collins Place (North),2019-06-30T18:00:00Z,2019-07-01,4,2
Chinatown-Swanston St (North),2019-06-30T18:00:00Z,2019-07-01,4,21
Chinatown-Lt Bourke St (South),2019-06-30T18:00:00Z,2019-07-01,4,19
Bourke St-Russell St (West),2019-06-30T18:00:00Z,2019-07-01,4,45
Flinders St-Elizabeth St (East),2019-06-30T18:00:00Z,2019-07-01,4,68
Spencer St-Collins St (South),2019-06-30T18:00:00Z,2019-07-01,4,13
Spencer St-Collins St (North),2019-06-30T18:00:00Z,2019-07-01,4,27
Melbourne Convention Exhibition Centre,2019-06-30T18:00:00Z,2019-07-01,4,NA
QV Market-Elizabeth St (West),2019-06-30T18:00:00Z,2019-07-01,4,39
QV Market-Peel St,2019-06-30T18:00:00Z,2019-07-01,4,NA
The Arts Centre,2019-06-30T18:00:00Z,2019-07-01,4,51
St Kilda Rd-Alexandra Gardens,2019-06-30T18:00:00Z,2019-07-01,4,3
Lonsdale St (South),2019-06-30T18:00:00Z,2019-07-01,4,55
Lygon St (West),2019-06-30T18:00:00Z,2019-07-01,4,19
City Square,2019-06-30T18:00:00Z,2019-07-01,4,NA
Flinders St-Spring St (West),2019-06-30T18:00:00Z,2019-07-01,4,12
Flinders St-Spark La,2019-06-30T18:00:00Z,2019-07-01,4,4
Southbank,2019-06-30T18:00:00Z,2019-07-01,4,16
Queen St (West),2019-06-30T18:00:00Z,2019-07-01,4,5
Lygon St (East),2019-06-30T18:00:00Z,2019-07-01,4,8
Flinders St-Swanston St (West),2019-06-30T18:00:00Z,2019-07-01,4,41
Alfred Place,2019-06-30T18:00:00Z,2019-07-01,4,5
Lonsdale St-Spring St (West),2019-06-30T18:00:00Z,2019-07-01,4,8
Grattan St-Swanston St (West),2019-06-30T18:00:00Z,2019-07-01,4,4
Monash Rd-Swanston St (West),2019-06-30T18:00:00Z,2019-07-01,4,1
Tin Alley-Swanston St (West),2019-06-30T18:00:00Z,2019-07-01,4,1
Bourke Street Mall (North),2019-06-30T19:00:00Z,2019-07-01,5,31
Bourke Street Mall (South),2019-06-30T19:00:00Z,2019-07-01,5,22
Melbourne Central,2019-06-30T19:00:00Z,2019-07-01,5,79
Town Hall (West),2019-06-30T19:00:00Z,2019-07-01,5,66
Princes Bridge,2019-06-30T19:00:00Z,2019-07-01,5,117
Flinders Street Station Underpass,2019-06-30T19:00:00Z,2019-07-01,5,248
Birrarung Marr,2019-06-30T19:00:00Z,2019-07-01,5,32
Webb Bridge,2019-06-30T19:00:00Z,2019-07-01,5,41
Southern Cross Station,2019-06-30T19:00:00Z,2019-07-01,5,92
Victoria Point,2019-06-30T19:00:00Z,2019-07-01,5,33
Waterfront City,2019-06-30T19:00:00Z,2019-07-01,5,5
New Quay,2019-06-30T19:00:00Z,2019-07-01,5,22
Flagstaff Station,2019-06-30T19:00:00Z,2019-07-01,5,NA
Sandridge Bridge,2019-06-30T19:00:00Z,2019-07-01,5,102
State Library,2019-06-30T19:00:00Z,2019-07-01,5,34
Collins St (North),2019-06-30T19:00:00Z,2019-07-01,5,41
Collins Place (South),2019-06-30T19:00:00Z,2019-07-01,5,85
Collins Place (North),2019-06-30T19:00:00Z,2019-07-01,5,48
Chinatown-Swanston St (North),2019-06-30T19:00:00Z,2019-07-01,5,24
Chinatown-Lt Bourke St (South),2019-06-30T19:00:00Z,2019-07-01,5,31
Bourke St-Russell St (West),2019-06-30T19:00:00Z,2019-07-01,5,42
Flinders St-Elizabeth St (East),2019-06-30T19:00:00Z,2019-07-01,5,203
Spencer St-Collins St (South),2019-06-30T19:00:00Z,2019-07-01,5,60
Spencer St-Collins St (North),2019-06-30T19:00:00Z,2019-07-01,5,355
Melbourne Convention Exhibition Centre,2019-06-30T19:00:00Z,2019-07-01,5,NA
QV Market-Elizabeth St (West),2019-06-30T19:00:00Z,2019-07-01,5,53
QV Market-Peel St,2019-06-30T19:00:00Z,2019-07-01,5,NA
The Arts Centre,2019-06-30T19:00:00Z,2019-07-01,5,105
St Kilda Rd-Alexandra Gardens,2019-06-30T19:00:00Z,2019-07-01,5,12
Lonsdale St (South),2019-06-30T19:00:00Z,2019-07-01,5,44
Lygon St (West),2019-06-30T19:00:00Z,2019-07-01,5,10
City Square,2019-06-30T19:00:00Z,2019-07-01,5,NA
Flinders St-Spring St (West),2019-06-30T19:00:00Z,2019-07-01,5,26
Flinders St-Spark La,2019-06-30T19:00:00Z,2019-07-01,5,22
Southbank,2019-06-30T19:00:00Z,2019-07-01,5,93
Queen St (West),2019-06-30T19:00:00Z,2019-07-01,5,19
Lygon St (East),2019-06-30T19:00:00Z,2019-07-01,5,8
Flinders St-Swanston St (West),2019-06-30T19:00:00Z,2019-07-01,5,105
Alfred Place,2019-06-30T19:00:00Z,2019-07-01,5,16
Lonsdale St-Spring St (West),2019-06-30T19:00:00Z,2019-07-01,5,20
Grattan St-Swanston St (West),2019-06-30T19:00:00Z,2019-07-01,5,15
Monash Rd-Swanston St (West),2019-06-30T19:00:00Z,2019-07-01,5,8
Tin Alley-Swanston St (West),2019-06-30T19:00:00Z,2019-07-01,5,8
Bourke Street Mall (North),2019-06-30T20:00:00Z,2019-07-01,6,120
Bourke Street Mall (South),2019-06-30T20:00:00Z,2019-07-01,6,79
Melbourne Central,2019-06-30T20:00:00Z,2019-07-01,6,155
Town Hall (West),2019-06-30T20:00:00Z,2019-07-01,6,205
Princes Bridge,2019-06-30T20:00:00Z,2019-07-01,6,395
Flinders Street Station Underpass,2019-06-30T20:00:00Z,2019-07-01,6,1014
Birrarung Marr,2019-06-30T20:00:00Z,2019-07-01,6,114
Webb Bridge,2019-06-30T20:00:00Z,2019-07-01,6,113
Southern Cross Station,2019-06-30T20:00:00Z,2019-07-01,6,556
Victoria Point,2019-06-30T20:00:00Z,2019-07-01,6,93
Waterfront City,2019-06-30T20:00:00Z,2019-07-01,6,13
New Quay,2019-06-30T20:00:00Z,2019-07-01,6,75
Flagstaff Station,2019-06-30T20:00:00Z,2019-07-01,6,NA
Sandridge Bridge,2019-06-30T20:00:00Z,2019-07-01,6,279
State Library,2019-06-30T20:00:00Z,2019-07-01,6,99
Collins St (North),2019-06-30T20:00:00Z,2019-07-01,6,129
Collins Place (South),2019-06-30T20:00:00Z,2019-07-01,6,250
Collins Place (North),2019-06-30T20:00:00Z,2019-07-01,6,187
Chinatown-Swanston St (North),2019-06-30T20:00:00Z,2019-07-01,6,36
Chinatown-Lt Bourke St (South),2019-06-30T20:00:00Z,2019-07-01,6,20
Bourke St-Russell St (West),2019-06-30T20:00:00Z,2019-07-01,6,69
Flinders St-Elizabeth St (East),2019-06-30T20:00:00Z,2019-07-01,6,793
Spencer St-Collins St (South),2019-06-30T20:00:00Z,2019-07-01,6,267
Spencer St-Collins St (North),2019-06-30T20:00:00Z,2019-07-01,6,1139
Melbourne Convention Exhibition Centre,2019-06-30T20:00:00Z,2019-07-01,6,NA
QV Market-Elizabeth St (West),2019-06-30T20:00:00Z,2019-07-01,6,106
QV Market-Peel St,2019-06-30T20:00:00Z,2019-07-01,6,NA
The Arts Centre,2019-06-30T20:00:00Z,2019-07-01,6,371
St Kilda Rd-Alexandra Gardens,2019-06-30T20:00:00Z,2019-07-01,6,58
Lonsdale St (South),2019-06-30T20:00:00Z,2019-07-01,6,80
Lygon St (West),2019-06-30T20:00:00Z,2019-07-01,6,29
City Square,2019-06-30T20:00:00Z,2019-07-01,6,NA
Flinders St-Spring St (West),2019-06-30T20:00:00Z,2019-07-01,6,104
Flinders St-Spark La,2019-06-30T20:00:00Z,2019-07-01,6,76
Southbank,2019-06-30T20:00:00Z,2019-07-01,6,591
Queen St (West),2019-06-30T20:00:00Z,2019-07-01,6,63
Lygon St (East),2019-06-30T20:00:00Z,2019-07-01,6,12
Flinders St-Swanston St (West),2019-06-30T20:00:00Z,2019-07-01,6,399
