state,schtype,yr,birthmonth,birthyr,gender,desk,room,computer,internet,solarpanels,tvs,cars,music_instr,books,birthcnt,mother_birthcnt,father_birthcnt,test_anxiety,ambitious,prefer_team,make_friends_easy,tardy,science_fun,breakfast,work_pay,sport,internet_use,install_software,outhours_study,math_time,read_time,science_time,belong,anxtest,motivat,language,home_edres,home_poss,wealth,stuweight,math,science,read
WA,Gov,Y10,9,1999,male,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,25.69107,359.83060000000006,332.5586,311.5861
WA,Gov,Y10,7,1999,male,1,1,1,1,0036002,4,4,4,2,1,1,1,2,3,3,2,1,3,1,2,1,6,3,0,260,260,260,-0.3381,-0.2729,1.3961,313,0.1927,0.6453,1.2607,25.69107,533.8184,584.2875,552.3538000000001
WA,Gov,Y10,10,1999,male,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,25.69107,555.5317,600.0029000000001,575.7997000000001
WA,Gov,Y10,7,1999,male,1,1,1,1,0036002,4,3,3,3,1,1,1,3,3,4,2,2,3,1,NA,1,7,3,20,240,240,240,-0.3381,-0.0436,0.4094,313,1.1563,0.6208,0.9801,25.69107,467.9991,520.5316999999999,469.47740000000005
WA,Gov,Y10,9,1999,male,1,1,1,1,0036002,4,3,1,6,1,1,1,2,3,3,1,1,3,1,1,1,5,3,21,240,240,240,0.514,-0.9024,-0.4495,313,1.1563,0.6286,0.867,25.69107,518.8924999999999,514.3335,479.2231
WA,Gov,Y10,8,1999,male,1,1,1,1,0036001,4,4,4,3,1,1,1,1,4,3,1,1,4,1,2,1,7,4,24,200,200,200,-0.0099,-2.505,0.959,313,-1.0509,1.6959,2.1081,25.69107,604.5389000000001,666.4945,550.0936999999999
WA,Gov,Y10,4,2000,male,1,1,1,1,0036002,2,3,3,1,2,2,2,2,3,3,3,1,3,1,2,1,6,4,0,240,240,240,-0.1515,-0.6871,0.1111,641,-1.0509,-0.4056,0.1803,25.69107,661.2184,690.0371,660.3607
WA,Gov,Y10,7,1999,male,2,1,1,1,0036001,4,4,1,1,1,1,NA,4,2,1,4,1,4,2,1,2,7,3,24,240,240,240,-1.5718,2.5493,-1.173,313,-1.813,-0.626,0.6252,25.69107,472.9531999999999,488.9841,411.3927
WA,Gov,Y10,11,1999,female,1,1,1,1,0036001,2,3,3,5,1,1,1,3,3,3,4,1,3,1,1,2,6,4,4,200,200,0,-1.5645,0.5209,-1.0795,313,1.1563,1.8152,1.2122,25.19681,459.59100000000007,505.5401,478.90560000000005
WA,Gov,Y10,5,1999,male,1,1,2,1,0036002,4,4,4,6,1,1,1,1,2,4,2,2,4,1,2,2,5,4,NA,240,240,0,-0.3381,-2.505,-1.1822,313,-1.7275,-0.7697,-0.6634,25.19681,526.5124,521.5414,472.6967000000001
