Team,Season,Place
CD Malaga,1973,7
Real Madrid,1973,8
Espanyol Barcelona,1973,9
UD Las Palmas,1973,10
Valencia CF,1973,11
Sporting Gijon,1973,12
Celta Vigo,1973,13
Elche CF,1973,14
Real Murcia,1973,15
CD Castellon,1973,16
Racing Santander,1973,17
Real Oviedo,1973,18
Real Madrid,1974,1
Real Zaragoza,1974,2
FC Barcelona,1974,3
Real Betis,1974,4
Real Sociedad,1974,5
Hercules CF,1974,6
Espanyol Barcelona,1974,7
Elche CF,1974,8
Athletic Bilbao,1974,9
Atletico Madrid,1974,10
UD Salamanca,1974,11
Valencia CF,1974,12
UD Las Palmas,1974,13
CD Malaga,1974,14
Sporting Gijon,1974,15
Granada CF,1974,16
Celta Vigo,1974,17
Real Murcia,1974,18
Real Madrid,1975,1
FC Barcelona,1975,2
Atletico Madrid,1975,3
Espanyol Barcelona,1975,4
Athletic Bilbao,1975,5
Real Betis,1975,6
Hercules CF,1975,7
Real Sociedad,1975,8
UD Salamanca,1975,9
Racing Santander,1975,10
Sevilla FC,1975,11
Valencia CF,1975,12
UD Las Palmas,1975,13
Real Zaragoza,1975,14
Real Oviedo,1975,15
Elche CF,1975,16
Granada CF,1975,17
Sporting Gijon,1975,18
Atletico Madrid,1976,1
FC Barcelona,1976,2
Athletic Bilbao,1976,3
UD Las Palmas,1976,4
Real Betis,1976,5
Espanyol Barcelona,1976,6
Valencia CF,1976,7
Real Sociedad,1976,8
Real Madrid,1976,9
Burgos CF,1976,10
Sevilla FC,1976,11
UD Salamanca,1976,12
Elche CF,1976,13
Hercules CF,1976,14
Racing Santander,1976,15
Real Zaragoza,1976,16
Celta Vigo,1976,17
CD Malaga,1976,18
Real Madrid,1977,1
FC Barcelona,1977,2
Athletic Bilbao,1977,3
Valencia CF,1977,4
Sporting Gijon,1977,5
Atletico Madrid,1977,6
UD Salamanca,1977,7
UD Las Palmas,1977,8
Sevilla FC,1977,9
Rayo Vallecano,1977,10
Real Sociedad,1977,11
Racing Santander,1977,12
Espanyol Barcelona,1977,13
Real Betis,1977,14
Burgos CF,1977,15
Hercules CF,1977,16
Elche CF,1977,17
Cadiz CF,1977,18
Real Madrid,1978,1
Sporting Gijon,1978,2
Real Sociedad,1978,3
Atletico Madrid,1978,4
FC Barcelona,1978,5
UD Las Palmas,1978,6
Espanyol Barcelona,1978,7
Valencia CF,1978,8
UD Salamanca,1978,9
Athletic Bilbao,1978,10
Sevilla FC,1978,11
Hercules CF,1978,12
Real Zaragoza,1978,13
Burgos CF,1978,14
Rayo Vallecano,1978,15
Celta Vigo,1978,16
Racing Santander,1978,17
Recreativo Huelva,1978,18
Real Madrid,1979,1
Real Sociedad,1979,2
Sporting Gijon,1979,3
FC Barcelona,1979,4
Athletic Bilbao,1979,5
Real Betis,1979,6
Valencia CF,1979,7
Sevilla FC,1979,8
Real Zaragoza,1979,9
UD Las Palmas,1979,10
AD Almeria,1979,11
UD Salamanca,1979,12
Atletico Madrid,1979,13
Espanyol Barcelona,1979,14
Hercules CF,1979,15
Rayo Vallecano,1979,16
CD Malaga,1979,17
Burgos CF,1979,18
Real Madrid,1980,1
Real Sociedad,1980,2
Valencia CF,1980,3
FC Barcelona,1980,4
Atletico Madrid,1980,5
Real Betis,1980,6
Sporting Gijon,1980,7
Sevilla FC,1980,8
Athletic Bilbao,1980,9
Espanyol Barcelona,1980,10
CA Osasuna,1980,11
Real Valladolid,1980,12
UD Las Palmas,1980,13
Hercules CF,1980,14
Real Zaragoza,1980,15
Real Murcia,1980,16
UD Salamanca,1980,17
AD Almeria,1980,18
Real Sociedad,1981,1
FC Barcelona,1981,2
Real Madrid,1981,3
Athletic Bilbao,1981,4
Valencia CF,1981,5
Real Betis,1981,6
Sevilla FC,1981,7
Atletico Madrid,1981,8
CA Osasuna,1981,9
Real Zaragoza,1981,10
Real Valladolid,1981,11
Espanyol Barcelona,1981,12
Racing Santander,1981,13
Cadiz CF,1981,14
UD Las Palmas,1981,15
Sporting Gijon,1981,16
Hercules CF,1981,17
CD Castellon,1981,18
Athletic Bilbao,1982,1
Real Madrid,1982,2
Atletico Madrid,1982,3
FC Barcelona,1982,4
Real Zaragoza,1982,5
Sevilla FC,1982,6
Real Sociedad,1982,7
Espanyol Barcelona,1982,8
Sporting Gijon,1982,9
CD Malaga,1982,10
Real Betis,1982,11
Real Valladolid,1982,12
UD Salamanca,1982,13
CA Osasuna,1982,14
Valencia CF,1982,15
Celta Vigo,1982,16
Racing Santander,1982,17
UD Las Palmas,1982,18
Real Madrid,1983,1
Athletic Bilbao,1983,2
FC Barcelona,1983,3
Atletico Madrid,1983,4
Real Betis,1983,5
Real Sociedad,1983,6
Sevilla FC,1983,7
Real Zaragoza,1983,8
CD Malaga,1983,9
Valencia CF,1983,10
Espanyol Barcelona,1983,11
Real Murcia,1983,12
Sporting Gijon,1983,13
Real Valladolid,1983,14
CA Osasuna,1983,15
Cadiz CF,1983,16
UD Salamanca,1983,17
RCD Mallorca,1983,18
FC Barcelona,1984,1
Atletico Madrid,1984,2
Athletic Bilbao,1984,3
Sporting Gijon,1984,4
Real Madrid,1984,5
