Player,Club,Kicks_TOT,Kicks_AVG,Handballs_TOT,Handballs_AVG,Disposals_TOT,Disposals_AVG,Cont Poss_TOT,Cont Poss_AVG,Uncont Poss_TOT,Uncont Poss_AVG,Disp eff %_TOT,Clangers_TOT,Clangers_AVG,Marks_TOT,Marks_AVG,Cont marks_TOT,Cont marks_AVG,Marks50_TOT,Marks50_AVG,Hit-outs_TOT,Hit-outs_AVG,Clearances_TOT,Clearances_AVG,Centre clr_TOT,Centre clr_AVG,Stoppages_TOT,Stoppages_AVG,Rebound50_TOT,Rebound50_AVG,Frees For_TOT,Frees For_AVG,Frees Agst_TOT,Frees Agst_AVG,Tackles_TOT,Tackles_AVG,One %s_TOT,One %s_AVG,Bounces_TOT,Bounces_AVG,Inside50_TOT,Inside50_AVG,Goals_TOT,Goals_AVG,Behinds_TOT,Behinds_AVG,Goal assists_TOT,Goal assists_AVG,Goal acc %_TOT,Matches_TOT,Time On Ground %_TOT
Emma Kearney,WB,82,11.7,68,9.7,150,21.4,75,10.7,76,10.9,62.7,20,2.9,17,2.4,2,0.3,3,0.4,0,0,36,5.1,15,2.1,21,3,15,2.1,11,1.6,8,1.1,20,2.9,2,0.3,13,1.9,38,5.4,0,0,4,0.6,4,0.6,0,7,93.3
Emma King,COLL,28,4,14,2,42,6,24,3.4,14,2,42.9,11,1.6,7,1,2,0.3,1,0.1,199,28.4,7,1,1,0.1,6,0.9,2,0.3,3,0.4,4,0.6,8,1.1,8,1.1,0,0,12,1.7,0,0,1,0.1,0,0,0,7,73
Emma Swanson,GWS,52,10.4,28,5.6,80,16,47,9.4,32,6.4,51.3,19,3.8,13,2.6,2,0.4,1,0.2,0,0,21,4.2,5,1,16,3.2,13,2.6,6,1.2,5,1,14,2.8,1,0.2,0,0,8,1.6,0,0,1,0.2,1,0.2,0,5,75.7
Emma Zielke,BL,65,8.1,27,3.4,92,11.5,49,6.1,38,4.8,57.6,12,1.5,18,2.3,1,0.1,2,0.3,1,0.1,20,2.5,7,0.9,13,1.6,9,1.1,13,1.6,3,0.4,41,5.1,7,0.9,0,0,11,1.4,3,0.4,0,0,1,0.1,60,8,79.8
Erin McKinnon,GWS,8,1.1,15,2.1,23,3.3,20,2.9,2,0.3,56.5,7,1,1,0.1,1,0.1,0,0,154,22,6,0.9,2,0.3,4,0.6,3,0.4,3,0.4,3,0.4,9,1.3,3,0.4,0,0,3,0.4,0,0,0,0,0,0,0,7,63.8
Erin Phillips,ADEL,124,15.5,36,4.5,160,20,110,13.8,39,4.9,57.5,24,3,23,2.9,8,1,8,1,1,0.1,40,5,11,1.4,29,3.6,3,0.4,27,3.4,8,1,30,3.8,6,0.8,2,0.3,37,4.6,10,1.3,8,1,4,0.5,38.5,8,97.9
Gabby O'Sullivan,FRE,32,4.6,35,5,67,9.6,35,5,26,3.7,52.2,16,2.3,6,0.9,0,0,1,0.1,0,0,12,1.7,2,0.3,10,1.4,4,0.6,1,0.1,6,0.9,31,4.4,2,0.3,0,0,10,1.4,1,0.1,5,0.7,3,0.4,14.3,7,82.4
Gabriella Pound,CARL,35,5,13,1.9,48,6.9,29,4.1,20,2.9,56.3,12,1.7,6,0.9,2,0.3,1,0.1,0,0,3,0.4,0,0,3,0.4,1,0.1,6,0.9,6,0.9,18,2.6,5,0.7,0,0,11,1.6,1,0.1,0,0,2,0.3,50,7,74.1
Gemma Houghton,FRE,36,5.1,26,3.7,62,8.9,37,5.3,20,2.9,53.2,19,2.7,11,1.6,6,0.9,3,0.4,19,2.7,13,1.9,4,0.6,9,1.3,2,0.3,6,0.9,10,1.4,28,4,3,0.4,0,0,13,1.9,3,0.4,5,0.7,0,0,37.5,7,71.6
Georgia Bevan,ADEL,53,6.6,12,1.5,65,8.1,32,4,35,4.4,44.6,14,1.8,8,1,0,0,0,0,0,0,3,0.4,0,0,3,0.4,5,0.6,8,1,1,0.1,25,3.1,5,0.6,0,0,19,2.4,1,0.1,1,0.1,0,0,50,8,65.3
